DATE,A229RC0
1959-01-01,1999.0
1959-02-01,2005.0
1959-03-01,2015.0
1959-04-01,2029.0
1959-05-01,2039.0
1959-06-01,2049.0
1959-07-01,2047.0
1959-08-01,2035.0
1959-09-01,2038.0
1959-10-01,2041.0
1959-11-01,2054.0
1959-12-01,2074.0
1960-01-01,2073.0
1960-02-01,2070.0
1960-03-01,2070
1960-04-01,2081.0
1960-05-01,2084.0
1960-06-01,2083.0
1960-07-01,2087.0
1960-08-01,2082.0
1960-09-01,2083.0
1960-10-01,2091.0
1960-11-01,2087.0
1960-12-01,2075.0
1961-01-01,2094.0
1961-02-01,2102.0
1961-03-01,2107.0
1961-04-01,2107.0
1961-05-01,2123.0
1961-06-01,2143.0
1961-07-01,2152.0
1961-08-01,2150.0
1961-09-01,2151.0
1961-10-01,2171.0
1961-11-01,2188.0
1961-12-01,2199.0
1962-01-01,2195.0
1962-02-01,2209.0
1962-03-01,2224.0
1962-04-01,2234.0
1962-05-01,2234
1962-06-01,2233.0
1962-07-01,2238.0
1962-08-01,2240.0
1962-09-01,2249.0
1962-10-01,2255.0
1962-11-01,2260.0
1962-12-01,2267.0
1963-01-01,2286.0
1963-02-01,2273
1963-03-01,2278
1963-04-01,2285.0
1963-05-01,2295.0
1963-06-01,2309
1963-07-01,2313
1963-08-01,2322.0
1963-09-01,2336
1963-10-01,2351.0
1963-11-01,2356
1963-12-01,2376
1964-01-01,2387.0
1964-02-01,2395.0
1964-03-01,2451
1964-04-01,2464
1964-05-01,2474.0
1964-06-01,2483.0
1964-07-01,2495.0
1964-08-01,2505.0
1964-09-01,2515.0
1964-10-01,2513.0
1964-11-01,2530
1964-12-01,2555.0
1965-01-01,2561.0
1965-02-01,2560.0
1965-03-01,2570
1965-04-01,2575.0
1965-05-01,2607
1965-06-01,2615
1965-07-01,2641
1965-08-01,2652
1965-09-01,2719.0
1965-10-01,2704
1965-11-01,2725.0
1965-12-01,2744.0
1966-01-01,2746.0
1966-02-01,2767.0
1966-03-01,2783.0
1966-04-01,2779.0
1966-05-01,2785.0
1966-06-01,2800.0
1966-07-01,2813.0
1966-08-01,2835.0
1966-09-01,2858
1966-10-01,2871.0
1966-11-01,2886.0
1966-12-01,2887.0
1967-01-01,2915.0
1967-02-01,2922
1967-03-01,2943
1967-04-01,2944.0
1967-05-01,2953.0
1967-06-01,2971
1967-07-01,2990.0
1967-08-01,3007
1967-09-01,3013.0
1967-10-01,3023.0
1967-11-01,3049.0
1967-12-01,3057.0
1968-01-01,3085.0
1968-02-01,3118.0
1968-03-01,3156
1968-04-01,3174.0
1968-05-01,3196.0
1968-06-01,3218
1968-07-01,3219
1968-08-01,3233.0
1968-09-01,3241.0
1968-10-01,3264.0
1968-11-01,3285.0
1968-12-01,3300.0
1969-01-01,3305.0
1969-02-01,3312.0
1969-03-01,3332.0
1969-04-01,3339.0
1969-05-01,3388.0
1969-06-01,3425.0
1969-07-01,3461.0
1969-08-01,3488.0
1969-09-01,3507.0
1969-10-01,3524.0
1969-11-01,3542.0
1969-12-01,3561.0
1970-01-01,3590.0
1970-02-01,3613
1970-03-01,3633.0
1970-04-01,3686.0
1970-05-01,3679.0
1970-06-01,3692.0
1970-07-01,3754.0
1970-08-01,3771.0
1970-09-01,3779.0
1970-10-01,3781.0
1970-11-01,3786.0
1970-12-01,3816.0
1971-01-01,3879.0
1971-02-01,3892.0
1971-03-01,3914.0
1971-04-01,3933.0
1971-05-01,3962.0
1971-06-01,4060.0
1971-07-01,4010.0
1971-08-01,4031.0
1971-09-01,4057.0
1971-10-01,4072.0
1971-11-01,4086.0
1971-12-01,4119.0
1972-01-01,4112.0
1972-02-01,4150.0
1972-03-01,4170.0
1972-04-01,4172.0
1972-05-01,4208.0
1972-06-01,4225.0
1972-07-01,4267.0
1972-08-01,4315.0
1972-09-01,4347.0
1972-10-01,4457.0
1972-11-01,4517.0
1972-12-01,4548.0
1973-01-01,4535.0
1973-02-01,4590.0
1973-03-01,4636.0
1973-04-01,4673.0
1973-05-01,4701.0
1973-06-01,4738.0
1973-07-01,4763.0
1973-08-01,4798.0
1973-09-01,4837.0
1973-10-01,4904.0
1973-11-01,4948.0
1973-12-01,4967.0
1974-01-01,4975.0
1974-02-01,4991.0
1974-03-01,5010.0
1974-04-01,5038.0
1974-05-01,5079.0
1974-06-01,5107.0
1974-07-01,5160.0
1974-08-01,5202.0
1974-09-01,5246.0
1974-10-01,5296.0
1974-11-01,5303.0
1974-12-01,5342.0
1975-01-01,5368.0
1975-02-01,5397.0
1975-03-01,5416.0
1975-04-01,5530.0
1975-05-01,5867.0
1975-06-01,5699.0
1975-07-01,5654.0
1975-08-01,5710.0
1975-09-01,5747.0
1975-10-01,5800.0
1975-11-01,5828.0
1975-12-01,5862.0
1976-01-01,5918.0
1976-02-01,5959.0
1976-03-01,5982.0
1976-04-01,5999.0
1976-05-01,6023.0
1976-06-01,6050.0
1976-07-01,6111.0
1976-08-01,6151.0
1976-09-01,6181.0
1976-10-01,6197.0
1976-11-01,6276.0
1976-12-01,6330.0
1977-01-01,6349.0
1977-02-01,6338.0
1977-03-01,6454.0
1977-04-01,6496.0
1977-05-01,6525.0
1977-06-01,6583.0
1977-07-01,6654.0
1977-08-01,6705.0
1977-09-01,6760.0
1977-10-01,6834.0
1977-11-01,6922.0
1977-12-01,6979.0
1978-01-01,6984.0
1978-02-01,7053.0
1978-03-01,7152.0
1978-04-01,7225.0
1978-05-01,7266.0
1978-06-01,7307.0
1978-07-01,7377.0
1978-08-01,7438.0
1978-09-01,7474.0
1978-10-01,7547.0
1978-11-01,7590.0
1978-12-01,7657.0
1979-01-01,7745.0
1979-02-01,7812.0
1979-03-01,7888.0
1979-04-01,7898.0
1979-05-01,7936.0
1979-06-01,7973.0
1979-07-01,8083.0
1979-08-01,8148.0
1979-09-01,8203.0
1979-10-01,8257.0
1979-11-01,8329.0
1979-12-01,8408.0
1980-01-01,8547
1980-02-01,8586.0
1980-03-01,8629.0
1980-04-01,8656.0
1980-05-01,8683.0
1980-06-01,8748.0
1980-07-01,8885.0
1980-08-01,8960.0
1980-09-01,9072.0
1980-10-01,9209.0
1980-11-01,9291.0
1980-12-01,9388.0
1981-01-01,9436.0
1981-02-01,9496.0
1981-03-01,9582.0
1981-04-01,9590.0
1981-05-01,9644.0
1981-06-01,9727.0
1981-07-01,9931.0
1981-08-01,10013.0
1981-09-01,10046.0
1981-10-01,10096.0
1981-11-01,10148.0
1981-12-01,10159.0
1982-01-01,10225.0
1982-02-01,10277.0
1982-03-01,10294.0
1982-04-01,10393.0
1982-05-01,10403.0
1982-06-01,10413.0
1982-07-01,10560.0
1982-08-01,10599.0
1982-09-01,10614.0
1982-10-01,10651.0
1982-11-01,10716.0
1982-12-01,10775.0
1983-01-01,10853.0
1983-02-01,10868.0
1983-03-01,10926.0
1983-04-01,10992.0
1983-05-01,11036.0
1983-06-01,11077.0
1983-07-01,11271.0
1983-08-01,11289.0
1983-09-01,11401.0
1983-10-01,11514.0
1983-11-01,11623.0
1983-12-01,11728.0
1984-01-01,11827.0
1984-02-01,11971.0
1984-03-01,12082.0
1984-04-01,12203.0
1984-05-01,12229.0
1984-06-01,12323.0
1984-07-01,12373.0
1984-08-01,12485.0
1984-09-01,12579.0
1984-10-01,12551.0
1984-11-01,12614.0
1984-12-01,12718.0
1985-01-01,12770.0
1985-02-01,12703.0
1985-03-01,12686.0
1985-04-01,12906.0
1985-05-01,13241.0
1985-06-01,12988.0
1985-07-01,13036.0
1985-08-01,13058.0
1985-09-01,13124.0
1985-10-01,13199.0
1985-11-01,13248.0
1985-12-01,13362.0
1986-01-01,13439.0
1986-02-01,13501.0
1986-03-01,13600.0
1986-04-01,13614.0
1986-05-01,13643.0
1986-06-01,13672.0
1986-07-01,13736.0
1986-08-01,13762.0
1986-09-01,13808.0
1986-10-01,13813.0
1986-11-01,13836.0
1986-12-01,13870.0
1987-01-01,13979.0
1987-02-01,14094.0
1987-03-01,14139.0
1987-04-01,13650.0
1987-05-01,14228.0
1987-06-01,14252.0
1987-07-01,14313.0
1987-08-01,14417.0
1987-09-01,14453.0
1987-10-01,14580.0
1987-11-01,14653.0
1987-12-01,14801.0
1988-01-01,14880.0
1988-02-01,14980.0
1988-03-01,15083.0
1988-04-01,15198.0
1988-05-01,15252.0
1988-06-01,15361.0
1988-07-01,15487.0
1988-08-01,15562.0
1988-09-01,15654.0
1988-10-01,15775.0
1988-11-01,15805.0
1988-12-01,15922.0
1989-01-01,16062.0
1989-02-01,16153.0
1989-03-01,16284.0
1989-04-01,16296.0
1989-05-01,16267.0
1989-06-01,16335.0
1989-07-01,16416.0
1989-08-01,16446.0
1989-09-01,16516.0
1989-10-01,16646.0
1989-11-01,16685.0
1989-12-01,16721.0
1990-01-01,16935.0
1990-02-01,17033.0
1990-03-01,17086.0
1990-04-01,17212.0
1990-05-01,17211.0
1990-06-01,17292.0
1990-07-01,17375.0
1990-08-01,17359.0
1990-09-01,17436.0
1990-10-01,17371.0
1990-11-01,17378.0
1990-12-01,17475.0
1991-01-01,17474.0
1991-02-01,17490.0
1991-03-01,17503.0
1991-04-01,17585.0
1991-05-01,17641.0
1991-06-01,17742.0
1991-07-01,17715.0
1991-08-01,17776.0
1991-09-01,17864.0
1991-10-01,17904.0
1991-11-01,17954.0
1991-12-01,18146.0
1992-01-01,18334.0
1992-02-01,18447.0
1992-03-01,18492.0
1992-04-01,18576.0
1992-05-01,18668.0
1992-06-01,18759.0
1992-07-01,18785.0
1992-08-01,18854.0
1992-09-01,18775.0
1992-10-01,18699.0
1992-11-01,18744.0
1992-12-01,19426.0
1993-01-01,19030.0
1993-02-01,19131.0
1993-03-01,19093.0
1993-04-01,19223.0
1993-05-01,19234.0
1993-06-01,19184.0
1993-07-01,19241.0
1993-08-01,19279.0
1993-09-01,19225.0
1993-10-01,19171.0
1993-11-01,19241.0
1993-12-01,19883.0
1994-01-01,19500.0
1994-02-01,19567.0
1994-03-01,19666.0
1994-04-01,19671.0
1994-05-01,19907.0
1994-06-01,19903.0
1994-07-01,19960.0
1994-08-01,20008.0
1994-09-01,20095.0
1994-10-01,20300.0
1994-11-01,20319.0
1994-12-01,20406.0
1995-01-01,20495.0
1995-02-01,20555.0
1995-03-01,20632.0
1995-04-01,20514.0
1995-05-01,20733.0
1995-06-01,20794.0
1995-07-01,20844.0
1995-08-01,20880.0
1995-09-01,20939.0
1995-10-01,20995.0
1995-11-01,21033.0
1995-12-01,21085.0
1996-01-01,21144.0
1996-02-01,21323.0
1996-03-01,21437.0
1996-04-01,21352.0
1996-05-01,21639.0
1996-06-01,21747.0
1996-07-01,21712.0
1996-08-01,21764.0
1996-09-01,21852.0
1996-10-01,21893.0
1996-11-01,21970.0
1996-12-01,22050.0
1997-01-01,22124.0
1997-02-01,22213.0
1997-03-01,22322.0
1997-04-01,22339.0
1997-05-01,22405.0
1997-06-01,22482.0
1997-07-01,22555.0
1997-08-01,22664.0
1997-09-01,22752.0
1997-10-01,22871.0
1997-11-01,22998.0
1997-12-01,23104.0
1998-01-01,23299.0
1998-02-01,23416.0
1998-03-01,23535.0
1998-04-01,23615.0
1998-05-01,23722.0
1998-06-01,23812.0
1998-07-01,23888.0
1998-08-01,23972.0
1998-09-01,24003.0
1998-10-01,24066.0
1998-11-01,24144.0
1998-12-01,24193.0
1999-01-01,24308.0
1999-02-01,24365.0
1999-03-01,24389.0
1999-04-01,24431.0
1999-05-01,24466.0
1999-06-01,24529.0
1999-07-01,24595.0
1999-08-01,24722.0
1999-09-01,24766.0
1999-10-01,24937.0
1999-11-01,25116.0
1999-12-01,25358.0
2000-01-01,25609.0
2000-02-01,25769.0
2000-03-01,25924.0
2000-04-01,25997.0
2000-05-01,26095.0
2000-06-01,26222.0
2000-07-01,26391.0
2000-08-01,26507.0
2000-09-01,26600.0
2000-10-01,26650.0
2000-11-01,26652.0
2000-12-01,26711.0
2001-01-01,26970.0
2001-02-01,27035.0
2001-03-01,27096.0
2001-04-01,27049.0
2001-05-01,27036.0
2001-06-01,27063.0
2001-07-01,27429.0
2001-08-01,27872.0
2001-09-01,27552.0
2001-10-01,27199.0
2001-11-01,27221.0
2001-12-01,27228.0
2002-01-01,27769.0
2002-02-01,27818.0
2002-03-01,27874.0
2002-04-01,28074.0
2002-05-01,28165.0
2002-06-01,28238.0
2002-07-01,28181.0
2002-08-01,28192.0
2002-09-01,28228.0
2002-10-01,28336.0
2002-11-01,28427.0
2002-12-01,28527.0
2003-01-01,28586.0
2003-02-01,28605.0
2003-03-01,28723.0
2003-04-01,28795.0
2003-05-01,28953.0
2003-06-01,29042.0
2003-07-01,29450.0
2003-08-01,29714.0
2003-09-01,29417.0
2003-10-01,29505.0
2003-11-01,29707.0
2003-12-01,29798.0
2004-01-01,29876.0
2004-02-01,29979.0
2004-03-01,30131.0
2004-04-01,30289.0
2004-05-01,30531.0
2004-06-01,30620.0
2004-07-01,30687.0
2004-08-01,30767.0
2004-09-01,30817.0
2004-10-01,30943.0
2004-11-01,30957.0
2004-12-01,32099.0
2005-01-01,30965.0
2005-02-01,31043.0
2005-03-01,31222.0
2005-04-01,31382.0
2005-05-01,31517.0
2005-06-01,31579.0
2005-07-01,31694.0
2005-08-01,31833.0
2005-09-01,32000.0
2005-10-01,32256.0
2005-11-01,32430.0
2005-12-01,32577.0
2006-01-01,33043.0
2006-02-01,33153.0
2006-03-01,33246.0
2006-04-01,33347.0
2006-05-01,33390.0
2006-06-01,33524.0
2006-07-01,33587.0
2006-08-01,33653.0
2006-09-01,33746.0
2006-10-01,33807.0
2006-11-01,33924.0
2006-12-01,34153.0
2007-01-01,34282.0
2007-02-01,34497.0
2007-03-01,34715.0
2007-04-01,34760.0
2007-05-01,34808.0
2007-06-01,34799.0
2007-07-01,34854.0
2007-08-01,34870.0
2007-09-01,35053.0
2007-10-01,35068.0
2007-11-01,35181.0
2007-12-01,35363.0
2008-01-01,35468.0
2008-02-01,35511.0
2008-03-01,35582.0
2008-04-01,35489.0
2008-05-01,37328.0
2008-06-01,36570.0
2008-07-01,36121.0
2008-08-01,35853.0
2008-09-01,35962.0
2008-10-01,35908.0
2008-11-01,35739.0
2008-12-01,35345.0
2009-01-01,35459.0
2009-02-01,35141.0
2009-03-01,35078.0
2009-04-01,35425.0
2009-05-01,36030.0
2009-06-01,35619.0
2009-07-01,35429.0
2009-08-01,35412.0
2009-09-01,35508.0
2009-10-01,35463.0
2009-11-01,35624.0
2009-12-01,35810.0
2010-01-01,35861.0
2010-02-01,35825.0
2010-03-01,35964.0
2010-04-01,36257.0
2010-05-01,36535.0
2010-06-01,36557.0
2010-07-01,36624.0
2010-08-01,36754.0
2010-09-01,36726.0
2010-10-01,36864.0
2010-11-01,36992.0
2010-12-01,37316.0
2011-01-01,37572.0
2011-02-01,37756.0
2011-03-01,37773.0
2011-04-01,37841.0
2011-05-01,37896.0
2011-06-01,38043.0
2011-07-01,38199.0
2011-08-01,38223.0
2011-09-01,38183.0
2011-10-01,38230.0
2011-11-01,38278.0
2011-12-01,38626.0
2012-01-01,39031.0
2012-02-01,39341.0
2012-03-01,39532.0
2012-04-01,39717.0
2012-05-01,39681.0
2012-06-01,39671.0
2012-07-01,39379.0
2012-08-01,39332.0
2012-09-01,39617.0
2012-10-01,40007.0
2012-11-01,40520.0
2012-12-01,41526.0
2013-01-01,39190.0
2013-02-01,39118.0
2013-03-01,39108.0
2013-04-01,39212.0
2013-05-01,39440.0
2013-06-01,39543.0
2013-07-01,39523.0
2013-08-01,39642.0
2013-09-01,39791.0
2013-10-01,39724.0
2013-11-01,39886.0
2013-12-01,40067.0
2014-01-01,40311.0
2014-02-01,40560.0
2014-03-01,40841.0
2014-04-01,41048.0
2014-05-01,41247.0
2014-06-01,41457.0
2014-07-01,41618.0
2014-08-01,41778.0
2014-09-01,41886.0
2014-10-01,42023.0
2014-11-01,42166.0
2014-12-01,42333.0
2015-01-01,42305.0
2015-02-01,42473.0
2015-03-01,42421.0
2015-04-01,42646.0
2015-05-01,42884.0
2015-06-01,43047.0
2015-07-01,43169.0
2015-08-01,43227.0
2015-09-01,43237.0
2015-10-01,43238.0
2015-11-01,43172.0
2015-12-01,43271.0
2016-01-01,43442.0
2016-02-01,43428.0
2016-03-01,43518.0
2016-04-01,43570.0
2016-05-01,43583.0
2016-06-01,43656.0
2016-07-01,43791.0
2016-08-01,43879.0
2016-09-01,44026.0
2016-10-01,44180.0
2016-11-01,44264.0
2016-12-01,44397.0
2017-01-01,44802.0
2017-02-01,44989.0
2017-03-01,45148.0
2017-04-01,45203.0
2017-05-01,45383.0
2017-06-01,45371.0
2017-07-01,45507.0
2017-08-01,45665.0
2017-09-01,45905.0
2017-10-01,46113.0
2017-11-01,46315.0
2017-12-01,46577.0
2018-01-01,47147.0
2018-02-01,47335.0
2018-03-01,47546.0
2018-04-01,47667.0
2018-05-01,47845.0
2018-06-01,48035.0
2018-07-01,48228.0
2018-08-01,48402.0
2018-09-01,48400.0
2018-10-01,48560.0
2018-11-01,48631.0
2018-12-01,49094.0
2019-01-01,49061.0
2019-02-01,49300.0
2019-03-01,49491.0
2019-04-01,49654.0
2019-05-01,49784.0
2019-06-01,49963.0
2019-07-01,50055.0
2019-08-01,50305.0
2019-09-01,50444.0
